id,name,canonical_name,mal_id,description
33,Rasheed,Rasheed,72727,"An ethnic Arab with a considerable amount of knowledge of ""beans"". As Spike is searching for answers regarding Vincent Volaju and the virus outbreak, he comes to Rasheed who seems to know a lot about beans and shares his knowledge with Spike at a bean shop. Spike makes it clear that his only interes"
34,Lee Samson,Lee Samson,72725,"Age: 17 Height: 5' 6"" Weight: 209 lbs Previous criminal records: counterfeiting, hacking  A hacker and accomplice of the terrorist Vincent Volaju. While Vincent is responsible for the rough stuff, Lee's task is to gather information. He also spreads their joint actions through the media or announces"
35,Meryl Stryfe,Meryl Stryfe,713,"Meryl Stryfe and her junior co-worker Milly were sent by the Bernardelli Insurance Society to evaluate claims regarding Vash the Stampede. Despite her serious attitude and short temper, she is a good person.  Although she doesn't often fight alongside Vash, she hides many derringer-style ""throwaway"""
36,Vash the Stampede,Vash the Stampede,162,"Age: unknown Over 150 yearsHeight: 180 cm (5'11"") Weight: 81.6 kg (180 lb)  Vash displays two different personalities. Vash usually exaggerates foolish characteristics to make people feel unthreatened and to hide his identity; for instance, exhibiting an almost obsessive love of doughnuts and at one"
37,Milly Thompson,Milly Thompson,714,"Milly Thompson is a fellow Bernardelli agent and friend and assistant to Meryl. Despite physically towering over Meryl, Milly looks up to her and always refers to her as ""senpai,"" or ""Ma'am"" in the English Version, as a term of respect for a senior.  Although physically very strong, she appears rath"
38,Nicholas D. Wolfwood,Nicholas D. Wolfwood,722,"When Vash's bus runs across Wolfwood's motorcycle in the middle of the desert. He proves to be a valuable ally although his and Vash's philosophies often conflict, Wolfwood being a firm believer in martialism while Vash is a pacifist. By the end of the series, he agrees with Vash's way of thinking e"
39,Kuroneko,Kuroneko,6750,"Kuroneko-sama (é»’çŒ«æ§˜ lit. 'black cat Martian Lord/Lady') is, as her name suggests, a black cat. (Yasuhiro Nightow has said that the cat is female, and he would know: Kuroneko-sama was one of the first characters he created for the manga.) Her formal name is Kuroneko Kukan, or Black Cat Space.  S"
40,Kaite Trevisick,Kaite Trevisick,14054,"Kaite is a 12-year-old boy, who is very knowledgeable about sandsteamers (a large vehicle used for transportation on Gunsmoke/No-Man's Land), especially his father's sandsteamer.  (Source: Trigun Wiki)"
41,Descartes,Descartes,29557,"The big bad guy with green hair appearing in the first episode. He fits the description given for Vash the Stampede. Vash was described as a ""tall guy in a mohawk, and lots of henchmen"" and so Descartes was mistaken for the real Vash. His weapon is a huge metal boomerang that can be fired with a mec"
42,Mary,Mary,58669,"Mary was one of the active crew members of the Project SEEDS (a deep space colonization mission) ship, and is on friendly terms with Rem as seen once having lunch with her, Vash, and Knives. Mary was also the object of affection of fellow crew members, Steve and Rolan. Though it seemed she didn't ha"
43,Lina,Lina,58671,"A 12-year-old girl who lives with her grandmother, Sheryl.  Lina found Vash one day when she was coming home from getting groceries. Seeing the state he was in, she asked him if he was alright. She brought him home, where her grandmother Sheryl cared for Vash. Vash lived with them for two years afte"
44,Jessica,Jessica,72207,
45,Legato Bluesummers,Legato Bluesummers,715,"Gender: Male Race: Modified Human Age: Unknown Hair: Blue Eyes: Gold Height: About 6'1"" (185 cm) Weight: Unknown Status: Leader of the Gung-Ho Guns  Legato was recruited by Knives after the July incident to make Vash's life a living hell, though the nightmare doesn't really begin until about midway "
46,Knives Millions,Knives Millions,1599,"As Trigun unfolds, it becomes apparent that Knives believes that humans are parasites that need to be exterminated. He wants to create a peaceful and fair world with Vash and his other plant brethren, and he believes the only way to do this is by killing off all humans. Knives never claims to be a g"
47,E.G. Mine,E.G. Mine,18617,"E.G. Mine is a violent man who wears a suit that resembles a sphere and contains control threads for deploying lethal spikes. Further manipulating these threads, Mine can hurl them towards an enemy.  (Source: Wikipedia)"
48,Marilyn Nebraska,Marilyn Nebraska,58667,"Marilyn Nebraska appears in Trigun Vol. 2 ch. 11. She is the only Nebraska daughter and looks as pretty normal for a Nebraska kid. She has apparently no skill aside from her big mouth, which even her mother points out. She and her family was hired by Morgan to dispatch of an old couple in possession"
49,Brilliant Dynamites Neon,Brilliant Dynamites Neon,19193,"B.D.N., Brilliant Dynamites Neon, is the leader of the Badlanders, a notorious gang of desert bandits who plunder the sands between the cities of Inepril and May. He enters the story when his gang attempts to hijack the sand steamer Vash, Meryl, and Milly were on in an attempt to raid its huge safe."
50,Rem Saverem,Rem Saverem,1180,"Rem left the Earth aboard Project Seeds when the planet's resources were all consumed and it became inhospitable to human life. In their search for a new home, the remnants of humanity, with their cryogenically frozen human cargo in tow, traveled the stars and came upon a young Vash and Knives alone"
51,Cliff Schezar,Cliff Schezar,60667,"Cliff is the son of a Plant engineer who purchased land with copious amounts of water on it and as a result, makes a good living selling water to the town. He portrays himself at first as a kind, caring older man with a sense of humor who only wants to protect the water and his guest Marianne. He ev"
52,Zazie the Beast,Zazie the Beast,14827,"The most mysterious of the Gung-Ho Guns. His portrayal in both the anime and manga are drastically different.  In the anime, Zazie uses the identity of a young boy named ""Beeb"" as a disguise. He can control sand-worms with a high-frequency device he wears on his head.  The anime never exactly gives "
53,Rai-Dei the Blade,Rai-Dei the Blade,18613,"Rai-Dei is a samurai who seeks the knowledge learned only when facing death. He carries a sword with a built in gun that can be fired from the hilt, and is able to swing it with enough force to create a sonic blast. In the anime, he expresses anger in the fact that Vash is refusing to make his mark "
54,Dominique the Cyclops,Dominique the Cyclops,18616,"Dominique the Cyclops has an ability known as the ""Demon's Eye,"" which causes hypnosis and sensory paralysis in her foes, momentarily stunning them and making her movements appear immediate. This effect happens when she lifts her eye patch, which reveals a reptilian eye in the manga and a red eye in"
55,Chapel the Evergreen,Chapel the Evergreen,18614,"Chapel the Evergreen is part of the ""Eye of Michael,"" an organization of assassins founded by a church that worships Plants. They provide Knives with mercenaries, with three slots of the Gung-Ho Guns reserved for the Eye of Michael's best. Chapel, also known as ""Master C,"" is shot and left as a para"
56,Monev the Gale,Monev the Gale,18618,Monev the Gale is the first Gung-Ho Gun to fight Vash. Knives locks him in a cell to train his body for twenty years in order to gain the skill and power required to kill Vash. He wears a powered battle suit and carries two high-powered chain guns on his arms. These guns fire extremely fast due to t
57,Hoppered the Gauntlet,Hoppered the Gauntlet,18621,"Hoppered the Gauntlet is a man who wears a set of armor to cover his degenerated and vestigial legs, while using his large arms to move. The armor acts like a top and he uses a shield to propel himself at high speeds. He seeks to kill Vash to avenge a mute and blind woman detached from the world, ki"
58,Midvalley the Hornfreak,Midvalley the Hornfreak,18615,"Midvalley the Hornfreak is a violent musician who is able to use his saxophone, Sylvia, to synchronize sound waves with pain, causing physical damage. He also is capable of neutralizing sounds by playing counter-frequencies. He and his band originally just kill for money until being found by Knives,"
59,Caine the Longshot,Caine the Longshot,18619,"Caine the Longshot is the scariest member of the Gung-Ho Guns. This character did not appear in the manga and was invented for the anime. He is a mute, talented sniper who can cloak his body and utilizes a rifle with a barrel many meters long, allowing him to snipe from many miles away.  (Source: Wi"
60,Gray the Nine Lives,Gray the Nine Lives,22793,
61,Leonof the Puppet-Master,Leonof the Puppet-Master,18620,"Leonof the Puppet-Master is an elderly man who controls a large number of puppets with an elaborate system of strings. He can manipulate them to look like real people, and uses them to do horrible things to people close to Vash. His real name is Emilio, having known Vash during his childhood. His lo"
62,Amon,Amon,300,"Amon is a Hunter and is also Robin's partner.  Though at one point Robin asks what Amon's ability is, he never answers and is never revealed. Originally, he is reluctant to team up with Robin, as he is told to ""keep an eye on her"" by STN-J (Japanese branch) boss Zaizen, as Robin is sent from Solomon"
63,Yurika Doujima,Yurika Doujima,304,"Doujima is portrayed as as carefree, lazy, vain, and immature; and she would sooner go shopping than go on a mission any chance she gets. She is consistently late for work and rarely does anything around the office, getting much negative attention from Kosaka. According to her, her parents had STN-J"
64,Miho Karasuma,Miho Karasuma,303,"The second in command. Miho is a 19-year-old hunter with the gift of psychometry, which is the ability to read people or past occurrences from objects merely by touching them. She can also see past events that happened to, or around, an item or place and uses this power when examining evidence or cr"
65,Michael Lee,Michael Lee,301,"Michael is a hacker and the technical support expert in the STN-J. He is confined to the STN-J building 24/7 by the director Zaizen after being caught hacking into the STN-J's computer network (the only network he was unable to avoid detection in, as he states to Robin). Zaizen had given him the opt"
66,Haruto Sakaki,Haruto Sakaki,302,"Haruto Sakaki is an 18-year-old Hunter working with the STN-J. He is brash, slightly hot-tempered, ambitious, and supportive. He often rushes into danger during hunts, and this often produces regrettable results. He is the newest member of the group after Robin, and is initially afraid of being repl"
67,Robin Sena,Robin Sena,299,"Robin Sena is a soft-spoken 15-year-old girl with a mysterious origin, given that she has power similar to the witches she helps hunt. She was raised in a convent in Italy before she joined the STN-J. Robin has a fire craft that allow her to manifest varying amounts of fire. In addition, she can cha"
68,Akio Kurosawa,Akio Kurosawa,65601,
69,Touko Masaki,Touko Masaki,28345,Touko shares her apartment with Robin. She doesn't work for STNJ. Touko and Amon might have been closely involved at one time but things between them have changed.
70,Shunji Nagira,Shunji Nagira,12588,"Nagira is an attorney and is Amon's older half-brother by the same father. He takes Robin in after she leaves STN-J, and he runs a private office with two assistants. He has Robin act as a bike messenger, partly because he does not believe the government is correct in persecuting witches. Throughout"
71,Takuma Zaizen,Takuma Zaizen,5134,"Takuma Zaizen represents the highest authority of the STN-J. His only superiors are the executives of Solomon Japan and, of course, Solomon Headquarters. Normally, he heads STN-J operations from his office at the STN-J's main building at Ravens Flat.  But some time before the story begins, he had cr"
72,Beet,Beet,9054,"The leader of the Beet Warriors. He is the younger brother of Zenon and believes very greatly in justice. He claims that he will be the man who ends the Dark Ages with his hands. When he was almost killed by Beltorze,the Zenon Warriors put their life energies into their saiga and gave them to him. B"
73,Poala,Poala,9056,"Beet's childhood friend and the second member of the Beet Warriors, her family took Beet in when Zenon brought him there. She cares about her family and friends very much and became a buster to pay for her fathers medicine. She is thoughtful and prefers to have a plan before starting a mission. She "
74,Kissu,Kissu,9058,"The third member of the Beet Warriors and an old friend of Beet.He can be a romantic at times and fell in love with Poala as soon as he saw her. He is also a very weak person and is a coward at times. In his first team, they fought Baron and soon began to lose. His other teammates told Kissu to dist"
75,Milfa,Milfa,31656,"Milfa is a young Broad Buster. She may seem to be a naive and weak girl, but she is incredibly strong since Broad Busters are considered to be the strongest Buster force. However, as Level Forty is the minimum to be a BB and Milfa is only in the low forties, she is still technically a rookie Broad B"
76,Slade,Slade,31657,"Slade, by nature, is an assassin. He met Beet while he was on his three year journey, around the 2nd or 3rd year. The two are rivals to each other, but not in an angry sort of way. In the present story, he meets Beet and Poala at a port town, which later becomes the battlefield where Beet and Bellto"
77,Grunide,Grunide,8931,"A truly brutal Vandel,Grineed hated the way he looked and bathes daily in a mixture that conceals it.He is a 7 star Vandel who believes that all Vandels should be cool and emotionless.He has a very short temper and will get mad if he is so much as addressed casually.If he is angered too far he will "
78,Beltoze,Beltoze,14469,"Slade called Beltorze ""that legendary monster."" After his fight with Zenon and his squad, Beltorze is left weakened and unable to move. Therefore he uses a phantom (puppet with his figure) to raid and kill innocent towns, people, and weaker Vandels. His phantom was beaten by Beet in an epic battle. "
79,Zenon,Zenon,16570,"Leader of the Zenon Warriors, a group of Vandel Busters. He is Beet's elder brother and is considered to be one of the strongest Busters of all time. His saiga is the holy Excellion Blade, which was passed onto Beet. Upon meeting Cruss, Beet learns that Zenon used ""the power beyond saiga"" to handle "
80,Mamori Anezaki,Mamori Anezaki,2539,"Position: Club Manager  Bench Press: 20 kg  Height: 162 cm (5' 4"")  Weight: 48 kg (106 lb)  Birthday: November 24  Hair color: Brown  Eyes: Blue (anime), Green (manga)  Graduated From: Sakura Girls' Middle School  2nd Year Student (Grade 11)   Sena's overprotective and motherly childhood friend. Mam"
81,Youichi Hiruma,Youichi Hiruma,945,"Position: Quarterback  Jersey: 1  40 yard dash: 5.1 seconds  Bench press: 75 kg  Height: 176 cm  Weight: 67 kg  Birthday: February 7  Hair: Blond (Originally black but he bleached it)  Eyes: Emerald Green   Hiruma usually acts in a vulgar, bizarre, threatening manner so as to intimidate or disturb t"
82,Sena Kobayakawa,Sena Kobayakawa,944,"Position: Running back/Free Safety Jersey: 21 40 yard dash: 4.2 seconds, 4,1 seconds ( The Fall Tournament) Bench Press: 45 kg Birthday: December 21 Height: 155 cm (5' 1"") Weight: 48 kg (106 lb) Blood type: A Graduated From: Deimon 2nd Middle School 1st Year Student (Grade 10)  The main character of"
83,Ryokan Kurita,Ryokan Kurita,946,"Birthday: July 7  Position: Center / Defensive Tackle / Long snapper  Jersey: 77  40 yard dash: 6.5 seconds  Bench Press: 160 kg (352 lb)  Height: 195 cm (6' 4"")  Weight: 145 kg (319 lb)  Graduated From: Mao 13th Middle School  2nd Year Student (Grade 11)    The largest and strongest player in the D"
84,Tarou Raimon,Tarou Raimon,955,"Position: Wide Receiver Split end / Cornerback Jersey: 80 40 yard dash: 5.0 (as of the start of the Kantou tournament) Birthday: August 31  Monta is the wide receiver of the Deimon Devil Bats American football team. He resembles an ape, particularly a chimpanzee, in many ways; indeed, his simian sim"
85,Nabeshin,Nabeshin,2795,"""Nabeshin"" is the well-known nickname of anime director, Shinichi Watanabe. Watanabe himself is notorious for inserting himself into anime using his character, Nabeshin. He is the Deus Ex Machina of Excel Saga and a main character in Puni Puni Poemi, and while he does not appear explicitly in Nerima"
86,Cerberos,Cerberos,32405,"Hiruma's ferocious dog, Cerberus is named after the Greek mythical creature that guards the gates to Hades. Though incredibly intelligent for a dog, Cerberus is apparently driven entirely by his appetite. Hiruma often uses Cerberus to frighten his players into training harder, and also to track down"
87,Hayato Akaba,Hayato Akaba,2894,Favourite food: Salad Favorite color: Red Favorite animal: Monkey (because it is smart) Respected person: Nobel prize winner. The most important thing in life: Calmness The most important thing in American Football: Kick Game  Akaba is the tight end for the Spiders and the team's captain. He is obse
88,Daisuke Atsumi,Daisuke Atsumi,7050,"Position: Quarterback/Safety Jersey Number: 9 Height: 173 cm Weight: 78 kg 3rd Year Student (Grade 12)  The team captain of Yuuhi Guts as well as the Quarterback. He has been leading the members though a series of intense training for 3 years, though it's not like the Death March the Devil Bats unde"
89,Mamoru Banba,Mamoru Banba,7048,"40-yard-dash: 5.5 seconds  Bench-press: 145 kg  Position: Center/Defensive Tackle  Jersey Number: 50  3rd Year Student (Grade 12)   Massive center of the team. The team captain and powerhouse. He holds the high school record for the squat. Although he is more skillful than Kurita, he does not have a"
90,Devil Bat,Devil Bat,31334,"Named after and mascot of the Deimon Devil Bats, he is in charge of answering questions or explaining things during the ""American Football Clinic"" segment of the anime."
91,Homer Fitzgerald,Homer Fitzgerald,13743,"Position: Quarterback  Jersey Number: 5  40-yard dash record: 5.6 seconds  Bench Press: 130kgs  Went to NASA middle school   Homer is the quarterback of the Nasa Aliens. His specialty is being able to heave a football from over half the length of the field. Along with Watt, he's one of Panther's clo"
92,Rikiya Gaou,Rikiya Gaou,21668,"Position: Lineman / Offensive Tackle  Jersey Number: 70  Bench Press: 210 kg  Height: 6' 7""  Weight: 288 lbs  Blood Type: B  Birthday: April 4  1st Year Student (Grade 10)   Although a rookie to American football, Gaou is one of the two most powerful linemen in Japanese high school, purely because o"
93,Rui Habashira,Rui Habashira,7201,"Position: Inside Linebacker/Quarterback  Jersey Number: 42  Height: 174 cm (5'8"")  Weight: 67 kg (147lbs)  40-Yard Dash: 5.2 seconds  Bench Press: 80 kg  Blood Type: B  Birthday: January 25  3rd Year Student (Grade 12)   The leader of the Zokugaku team. Basically, he is a punk's punk, leading his te"
94,Kiminari Harao,Kiminari Harao,7049,"40-yard-dash: 5.4 seconds  Bench-press: 50 kg  Position: Quarterback  Jersey Number: 8  3rd Year Student (Grade 12)   Harao is the quarterback of the Taiyou Sphinx. He bosses everyone around and puts the blame on them until Banba sets him straight. For some reason, he's popular with the ladies and h"
95,Masaru Honjou,Masaru Honjou,23433,"Honjou is known in Japan as ""history's strongest fielder."" He is Taka's father and the man whom Monta has admired ever since he received Honjou's glove at one of his past games."
96,Billy Horide,Billy Horide,10530,"Position: Coach/Trainer   The coach of the Wild Gunmen, his appearance is like a stereotypical cowboy complete with two pistols he uses to fire with. (showing off similar gunmenship skills to both Kid and Hiruma) His main philosophy revolves around a fast-shooting offense that crushes the opponent. "
97,Ikkyu Hosakawa,Ikkyu Hosakawa,10533,"Position: Split End / Cornerback Jersey Number: 33 2nd Year Student (Grade 11) 40-yard-dash: 4.9 seconds (Backwards) Bench-press: 65 kg  Ikkyu is the only person who has an attitude like Monta. By the look of him, no one should be intimidated, but his true skill lies in his running technique. He has"
98,Daigo Ikari,Daigo Ikari,13741,"Position: Defensive Lineman Jersey Number: 66 Bench-press: 120 kg  Otherwise know as the ultra delinquient, ""Prison Chain Ikari."" A silver-haired freshman on the White Knights team, plays mostly on the defensive line with Ootawara. Ikari is kept chained up because irrational behavior, which is mainl"
99,Tetsuo Ishimaru,Tetsuo Ishimaru,7027,"Position: Fullback / Cornerback  Jersey: 30  40 yard dash: 4.9 seconds  Height: 168 cm (5' 6"")  Weight: 59 kg (130 lb)  Blood Type: A  Birthday: May 26  Graduated From: Jimichuu Middle School  2nd Year Student (Grade 11)   Ishimaru is the Devil Bats' second running back. Ishimaru was recruited from "
100,Kazuki Juumonji,Kazuki Juumonji,7000,"Position: Lineman / Offensive Tackle  Jersey: 51  Bench press: 85 kg  Birthday: October 1  40 yard dash: 5.5 second   Juumonji is the apparent leader of the ""Ha-Ha Brothers."" A few times, including the NASA Aliens game and the Death March, we see him as a leader who urges the other two to follow. He"
101,Riku Kaitani,Riku Kaitani,7202,"Position: Running Back/Safety  Jersey Number: 29  40-yard dash record: 4.5 seconds  Bench Press: 60 kg  1st Year Student (Grade 10)  40-yard-dash: 4.5   An extremely fast grey-haired boy and happens to be the one who taught Sena how to run. When Riku was in elementary school, he saw Sena being bulli"
102,Shun Kakei,Shun Kakei,3896,"The fourth tallest player on the team and the de facto captain. Shun is the first character to admit there is a real ""Eyeshield 21"" playing football at Notre Dame prep school, of which Sena (who was made into an ""Eyeshield 21"" from Notre Dame by Hiruma) was not according to him. Shun had gone to sch"
103,Taiga Kamiya,Taiga Kamiya,10819,"Position: Running Back Jersey Number: 26 40-Yard Dash: 4.6 seconds Bench Press: 50 kg Team: Misaki Wolves Blood Type: B Birthday: February 14 Height: 167cm (5'3"") Weight: 58kg (128 lbs)  Kamiya is the Misaki Wolves' captain. He often boasts about his long legs, which help him to run faster. He has s"
104,Daikichi Komusubi,Daikichi Komusubi,948,"Position: Offensive Guard / Defensive Tackle  Jersey: 55  40 yard dash: 5.2 seconds  Bench Press: 110 kg  Height: 150 cm (4' 11"")  Weight: 64 kg (140 lb)  Blood Type: AB  Birthday: January 1  Graduated From: Gouremu Middle School  1st Year Student (Grade 10)   Komusubi is one of the linemen of the D"
105,Agon Kongo,Agon Kongo,3774,"Birthday: March 31  Year: 2nd / Gr. 11  Jersey #: 02  Position: any position he feels like playing; mostly LB and QB 40 Yard Dash: ?  Bench Press: ?   Agon is the twin brother of Unsui. Instead of training like his brother, he's likes it more to take things easy. He is lazy and comes late to matches"
106,Unsui Kongo,Unsui Kongo,10532,"Position: Quarterback  Jersey Number: 12  Blood Type: B  Birthday: May 31  2nd Year Student (Grade 11)  40-Yard Dash: 5.1 seconds  Bench Press: 95 kg   A very strong player. Not much is known about him, but in the previous year's match between the Ojo White Knights and Shinryuji Naga, both he and hi"
107,Riko Kumabukuro,Riko Kumabukuro,12272,"Daughter of ""Bomberhead"" Kumabukuro, who declares she's not like her father at all. A cute and determined reporter, she's the one who interviewed aces of Kantou tournament (with Agon trying to flirt with her). A running gag through the anime series is that when she gets two excited, she starts looki"
108,Koji Kuroki,Koji Kuroki,7001,"Position: Lineman/Offensive Tackle Jersey: 52 Bench press: 85 kg Birthday: September 2 40 yard dash: 5.1 second  Kuroki sports dark hair of medium-length with noticeably longer eyelashes than the other two. He seems to be the most violent, and his usual weapon is his metal bat. When playing defense,"
109,Reiji Maruko,Reiji Maruko,13361,"Position: Quarterback/Safety Jersey Number: 4 40-Yard Dash: 5.2 seconds Bench Press: 60 kg Height: 177 cm (5' 9"") Weight: 66 kg (145 lbs) Blood Type: AB Birthday: May 1 1st Year Student (Grade 10)  Marco is the quarterback for the Dinosaurs. He prefers to be called Marco instead of Maruko, because M"
