id,name,url
75,graveler,https://pokeapi.co/api/v2/pokemon/75/
76,golem,https://pokeapi.co/api/v2/pokemon/76/
77,ponyta,https://pokeapi.co/api/v2/pokemon/77/
78,rapidash,https://pokeapi.co/api/v2/pokemon/78/
79,slowpoke,https://pokeapi.co/api/v2/pokemon/79/
80,slowbro,https://pokeapi.co/api/v2/pokemon/80/
81,magnemite,https://pokeapi.co/api/v2/pokemon/81/
82,magneton,https://pokeapi.co/api/v2/pokemon/82/
83,farfetchd,https://pokeapi.co/api/v2/pokemon/83/
84,doduo,https://pokeapi.co/api/v2/pokemon/84/
85,dodrio,https://pokeapi.co/api/v2/pokemon/85/
86,seel,https://pokeapi.co/api/v2/pokemon/86/
87,dewgong,https://pokeapi.co/api/v2/pokemon/87/
88,grimer,https://pokeapi.co/api/v2/pokemon/88/
89,muk,https://pokeapi.co/api/v2/pokemon/89/
90,shellder,https://pokeapi.co/api/v2/pokemon/90/
91,cloyster,https://pokeapi.co/api/v2/pokemon/91/
92,gastly,https://pokeapi.co/api/v2/pokemon/92/
93,haunter,https://pokeapi.co/api/v2/pokemon/93/
94,gengar,https://pokeapi.co/api/v2/pokemon/94/
95,onix,https://pokeapi.co/api/v2/pokemon/95/
96,drowzee,https://pokeapi.co/api/v2/pokemon/96/
97,hypno,https://pokeapi.co/api/v2/pokemon/97/
98,krabby,https://pokeapi.co/api/v2/pokemon/98/
99,kingler,https://pokeapi.co/api/v2/pokemon/99/
100,voltorb,https://pokeapi.co/api/v2/pokemon/100/
101,electrode,https://pokeapi.co/api/v2/pokemon/101/
102,exeggcute,https://pokeapi.co/api/v2/pokemon/102/
103,exeggutor,https://pokeapi.co/api/v2/pokemon/103/
104,cubone,https://pokeapi.co/api/v2/pokemon/104/
105,marowak,https://pokeapi.co/api/v2/pokemon/105/
106,hitmonlee,https://pokeapi.co/api/v2/pokemon/106/
107,hitmonchan,https://pokeapi.co/api/v2/pokemon/107/
108,lickitung,https://pokeapi.co/api/v2/pokemon/108/
109,koffing,https://pokeapi.co/api/v2/pokemon/109/
110,weezing,https://pokeapi.co/api/v2/pokemon/110/
111,rhyhorn,https://pokeapi.co/api/v2/pokemon/111/
112,rhydon,https://pokeapi.co/api/v2/pokemon/112/
113,chansey,https://pokeapi.co/api/v2/pokemon/113/
114,tangela,https://pokeapi.co/api/v2/pokemon/114/
115,kangaskhan,https://pokeapi.co/api/v2/pokemon/115/
116,horsea,https://pokeapi.co/api/v2/pokemon/116/
117,seadra,https://pokeapi.co/api/v2/pokemon/117/
118,goldeen,https://pokeapi.co/api/v2/pokemon/118/
119,seaking,https://pokeapi.co/api/v2/pokemon/119/
120,staryu,https://pokeapi.co/api/v2/pokemon/120/
121,starmie,https://pokeapi.co/api/v2/pokemon/121/
122,mr-mime,https://pokeapi.co/api/v2/pokemon/122/
123,scyther,https://pokeapi.co/api/v2/pokemon/123/
124,jynx,https://pokeapi.co/api/v2/pokemon/124/
125,electabuzz,https://pokeapi.co/api/v2/pokemon/125/
126,magmar,https://pokeapi.co/api/v2/pokemon/126/
127,pinsir,https://pokeapi.co/api/v2/pokemon/127/
128,tauros,https://pokeapi.co/api/v2/pokemon/128/
129,magikarp,https://pokeapi.co/api/v2/pokemon/129/
130,gyarados,https://pokeapi.co/api/v2/pokemon/130/
131,lapras,https://pokeapi.co/api/v2/pokemon/131/
132,ditto,https://pokeapi.co/api/v2/pokemon/132/
133,eevee,https://pokeapi.co/api/v2/pokemon/133/
134,vaporeon,https://pokeapi.co/api/v2/pokemon/134/
135,jolteon,https://pokeapi.co/api/v2/pokemon/135/
136,flareon,https://pokeapi.co/api/v2/pokemon/136/
137,porygon,https://pokeapi.co/api/v2/pokemon/137/
138,omanyte,https://pokeapi.co/api/v2/pokemon/138/
139,omastar,https://pokeapi.co/api/v2/pokemon/139/
140,kabuto,https://pokeapi.co/api/v2/pokemon/140/
141,kabutops,https://pokeapi.co/api/v2/pokemon/141/
142,aerodactyl,https://pokeapi.co/api/v2/pokemon/142/
143,snorlax,https://pokeapi.co/api/v2/pokemon/143/
144,articuno,https://pokeapi.co/api/v2/pokemon/144/
145,zapdos,https://pokeapi.co/api/v2/pokemon/145/
146,moltres,https://pokeapi.co/api/v2/pokemon/146/
147,dratini,https://pokeapi.co/api/v2/pokemon/147/
148,dragonair,https://pokeapi.co/api/v2/pokemon/148/
149,dragonite,https://pokeapi.co/api/v2/pokemon/149/
150,mewtwo,https://pokeapi.co/api/v2/pokemon/150/
151,mew,https://pokeapi.co/api/v2/pokemon/151/
152,chikorita,https://pokeapi.co/api/v2/pokemon/152/
153,bayleef,https://pokeapi.co/api/v2/pokemon/153/
154,meganium,https://pokeapi.co/api/v2/pokemon/154/
155,cyndaquil,https://pokeapi.co/api/v2/pokemon/155/
156,quilava,https://pokeapi.co/api/v2/pokemon/156/
157,typhlosion,https://pokeapi.co/api/v2/pokemon/157/
158,totodile,https://pokeapi.co/api/v2/pokemon/158/
159,croconaw,https://pokeapi.co/api/v2/pokemon/159/
160,feraligatr,https://pokeapi.co/api/v2/pokemon/160/
161,sentret,https://pokeapi.co/api/v2/pokemon/161/
162,furret,https://pokeapi.co/api/v2/pokemon/162/
163,hoothoot,https://pokeapi.co/api/v2/pokemon/163/
164,noctowl,https://pokeapi.co/api/v2/pokemon/164/
165,ledyba,https://pokeapi.co/api/v2/pokemon/165/
166,ledian,https://pokeapi.co/api/v2/pokemon/166/
167,spinarak,https://pokeapi.co/api/v2/pokemon/167/
168,ariados,https://pokeapi.co/api/v2/pokemon/168/
169,crobat,https://pokeapi.co/api/v2/pokemon/169/
170,chinchou,https://pokeapi.co/api/v2/pokemon/170/
171,lanturn,https://pokeapi.co/api/v2/pokemon/171/
172,pichu,https://pokeapi.co/api/v2/pokemon/172/
173,cleffa,https://pokeapi.co/api/v2/pokemon/173/
174,igglybuff,https://pokeapi.co/api/v2/pokemon/174/
175,togepi,https://pokeapi.co/api/v2/pokemon/175/
176,togetic,https://pokeapi.co/api/v2/pokemon/176/
177,natu,https://pokeapi.co/api/v2/pokemon/177/
178,xatu,https://pokeapi.co/api/v2/pokemon/178/
179,mareep,https://pokeapi.co/api/v2/pokemon/179/
180,flaaffy,https://pokeapi.co/api/v2/pokemon/180/
181,ampharos,https://pokeapi.co/api/v2/pokemon/181/
182,bellossom,https://pokeapi.co/api/v2/pokemon/182/
183,marill,https://pokeapi.co/api/v2/pokemon/183/
184,azumarill,https://pokeapi.co/api/v2/pokemon/184/
185,sudowoodo,https://pokeapi.co/api/v2/pokemon/185/
186,politoed,https://pokeapi.co/api/v2/pokemon/186/
187,hoppip,https://pokeapi.co/api/v2/pokemon/187/
188,skiploom,https://pokeapi.co/api/v2/pokemon/188/
189,jumpluff,https://pokeapi.co/api/v2/pokemon/189/
190,aipom,https://pokeapi.co/api/v2/pokemon/190/
191,sunkern,https://pokeapi.co/api/v2/pokemon/191/
192,sunflora,https://pokeapi.co/api/v2/pokemon/192/
193,yanma,https://pokeapi.co/api/v2/pokemon/193/
194,wooper,https://pokeapi.co/api/v2/pokemon/194/
195,quagsire,https://pokeapi.co/api/v2/pokemon/195/
196,espeon,https://pokeapi.co/api/v2/pokemon/196/
197,umbreon,https://pokeapi.co/api/v2/pokemon/197/
198,murkrow,https://pokeapi.co/api/v2/pokemon/198/
199,slowking,https://pokeapi.co/api/v2/pokemon/199/
200,misdreavus,https://pokeapi.co/api/v2/pokemon/200/
